Username,Text
@rsydnrdn,Anda jangan pernah sekali kali berpikir bahwa video anda ini keren atau menginspirasi
@audiraafian,Salut sama editornya kuat ngedit video ini sambil liat muka doi selama berjam jam
,Bisa gak wapres diganti AI
@chelseajumpoladulkittiporn6926,80rb Like dalam 48 jam terakhir? KAMI GAK RELA UANG PAJAK DIGUNAKAN UNTUK SEWA BUZZER
@muhammadtoha9094,Kosongnya natural
@motivateindemand,Video ini sangat ironis. Seorang anak muda berbicara tentang bonus demografi ketika dia sendiri dicarikan jabatan oleh bapaknya dengan mengacak2 MK
@HannaA-y3j,Gila komentarnya ga ada yang positif. Melihat kolom komentar ini saya merasa ADA HARAPAN UNTUK INDONESIA!
@Hackers-ef8vo,BAHKANN BUZZERP2NYA PUN TAKK SANGGUPPP MENENGGELAMKAN RIBUANN KOMEENN2 NEGATIIFFF DISINI..   BRAVOOO BUAATTT ANAK2 MUDA INDONESIAAA YG BERJUAANG DGN JERIH PAYAHNYA SENDIRI GAK DIGENDONGIN BAPAKNYA!!!!
@DORTacticool,Gw tantang ngomong nya langsung di depan kampus tanpa skrip… sebagai Wapres itu harus berkompeten dan mumpuni… jd conto bagi anak muda yang lain nya… silahkan waktu dan tempat agendakan
@happyperson52dhsh,"dalam satu frame pidatonya saling bertentangan = 1) mendukung animasi. 2) ketinggalan kalau tidak pakai Al. Dari sini kita bisa simpulkan, pentingnya pendidikan gratis dibanding makan siang gratis."
@djisamsoe5889,Gue salut ma editornya... Bisa kuat ngedit tanpa muntah sehingga bisa ngehasilin video ini.
@HardwinPanjaitan,Bro punya bakat untuk membuat video untuk pengidap insomnia
@nidapriatna4070,"Terima kasih sudah memberi contoh bahwa sekolah itu penting, nilai itu patut diperjuangkan, dan perlunya berdikari diatas kaki sendiri, bukan dibantu cari kerja mati-matian oleh orangtua."
@deliyagendhis4245,Siapa yang Kesini cuma mau liat komen² tp skip isi video nya coba cung
@argonout7239,"Untuk ukuran orang yang dicariin kerja sama bapak sampai mengacaukan konstitusi negara, ngomongin masa depan bangsa kayaknya terlalu berlebihan buat Anda"
@diassaid69,Saya kira banyak yang cari video ini setelah nonton video Fery Irwandi?  Kalo iya boleh like
@jokopurnomo5686,"Hai para BEM, undang WAPRES ini ke kampus2 utk memberi kuliah umum dan memotivasi para anak muda utk semakin BINGUNG...."
@ihzamahendra926,Gibran Karbit & Perilaku Hipokrit (kopas)  >Mengindoktrinasi anak-anak untuk mendorong pembuatan animasi menggunakan AI untuk perkembangan teknologi.  >Tidak peduli dengan akibat dan nasib animator Indonesia.  >Ada satu film animasi Indonesia yang sukses dan terkenal di mancanegara dan menjadi viral.  >Memutuskan untuk mengoceh dan membuat video tentang beberapa hal buruk tentang sektor animasi kita.  >Blud benar-benar mengatakan “Era baru bagi industri animasi Indonesia”.
@rimkidmedia2930,"Motivasinya kepanjangan gg ada isi.  Gini aja yg simpel :  ""kalo mau sukses kompetisi, gunakan orang dalam (bapak & paman)"""
@andiwidodo5074,"Mulyono dan kluarga nya tetap yg terbaik di hati para ternak"" nya yg ▀█▀ █▀█ █░ █▀█ █░ ░█░ █▄█ █▄ █▄█ █▄"
@aksaniskandar3507,Dari video ini kita bisa menyimpulkan bahwa pendidikan gratis lebih penting dari makan siang gratis
,"- kampanye bahasnya AI - jalan masa jabatan pun masih bahas AI - ngide buat pake AI untuk ngatasi kemacetan mudik lebaran - bikin video ucapan idul fitri pake AI, promptnya film Dune *harusnya kena tuntut hak cipta njir - AI this AI that - and then animasi ""jumbo"" tayang di bioskop dengan 4 juta penonton - out of nowhere ""ini menjadi era baru industri animasi indonesia ️"""
@FidoVito-y5o,"90% komentarnya negatif. Ini bukti, bhw rakyat tidak menyukai gibran sebagai wapres."
@MmozAth,"Saya sering bilang sm mahasiswa sy klo presentasi, kamu itu harus paham apa yang kamu paparkan..harus ngerti, dan jelas beda orang yg bener2 paham sama sekedar baca. Klo cuma baca, anak SD juga bisa!"
@AdityaAnwar69,98% komenan ngehate dan ada sebagian yang mengkritik juga komentar negatif ini pertanda bahwa rakyat indonesia rata” tidak menyukai bapak gibran ini juga harusnnya bapak mengerti apa yang harus dilakukan selanjutnya APAA?? yaa mengundurkan dirii wkwkwkkw wapres ga beres
@edisaputro2464,"Dari video ini membuktikan 99% komen negatif 1% komen positif, Bukti nyata dengan ketidakpuasan publik terhadap kinerja wapres kita."
@widyafatmawati708,Kesini ga liat videonya tp baca komen2nya. Benar2 mewakili publik yg tdk puas dg kinerja wapres saat ini
@basiruswa2913,"Bayangkan saja, dulu wapres kita se kharismatik bung hatta, sepintar bj habibi, se hebat JK dll. Lah sekarang ?  Isi sendiri lah"
@erdyhouse2829,Jadilah diri sendiri dengan mengundurkan diri secara jantan dan mengakui perbuatan bapaknya yg salah. Dijamin banyak jempol
@SiPalingBogor,"Kita ga akan kalah sama AI, kita cuman kalah sama pejabat yang curang dan korup."
@riswandoanggit3272,"kalau mayoritas komen isinya hujatan semua berarti kan ada yg salah, bukan karna bayaran, itu menandakan bahwa wapres saat ini telah merusak tatanan negara ini !!!!!"
@carompoovillage,Ampun cheat likenya lee
@ekodidiksiswandi2991,"Hanya di Indonesia, sekelas Wakil Presiden nggak ada harga nya. Netizen memang pollllllllll"
@halintang_sb,"Sumpah aku datang kesini cuma dislike doang tanpa ku tonton videonya, ya buat apa ditonton kalau udah tau hasilnya kosong. Respect pak wapres 🫡"
@AleshaPrimaningtya,"Yakin, gw udah ngomong ke murid2 gw biar jangan sampe niru kebiasaan hidup ni orang. Gila, gw nyuruh murid2 buat semangat belajar, tingkatkan literasi, eh si samsul ini dengan santai bilang kalo gk suka baca dan gk punya kebiasaan membaca di rumahnya. Kalo murid gw tanya ""pak, yg gak suka baca aja bisa jadi wapres"" . Skakmat dong gw"
@muhammadferdiansaputra9761,"terima kasih atas pencerahannya, mas wapres. saran coba nonton juga videonya bang ferry irwandi supaya konten selanjutnya bisa lebih berisi."
@abiuma3037,"Saya mampir kesini cuma liat komentar, alhamdulillah stress pekerjaan berkurang. Makasih netizen."
@naufalfadh,"udahh yapping nya? Hebat ya, waktu animasi Indonesia masih berjuang dan butuh dukungan, malah sibuk promosiin AI seolah-olah itu satu-satunya masa depan. Tapi begitu animasi lokal tembus internasional, langsung ikut-ikutan bangga, seakan-akan dari awal sudah jadi pahlawan di balik layar. Gaya kayak gini tuh mirip penumpang gelap—datang pas enak, pergi pas susah. Kalau pemimpin cuma muncul pas ada kamera dan tepuk tangan, jangan heran kalau pelaku industri kreatif makin malas berharap. Soalnya, yang dibutuhkan itu teman seperjuangan, bukan penikmat hasil jadi. Btw teks ini kata AI ya, promptnya ""analisis video ini, dan apa pendapat kamu"""
@errybismonoaji6466,"Dengan bantuan bapak saya yakin akan memporak porandakan Indonesia, malu mas malu udah! Please akuin fakta dilapangan tentang anda"
@ALISHATiViS,"WAKIL PRESIDEN TERDAHULU LUAR BIASA Umar Wirahadikusumah (1983-1988), Sudharmono (1988-1993), Try Sutrisno (1993-2001), Bacharuddin Jusuf Habibie (1998-1999), Megawati Soekarnoputri (1999-2001), Hamzah Haz (2001-2004), Muhammad Jusuf Kalla (2004-2009), Boediono (2009-2014), Muhammad Jusuf Kalla (2014-2019), dan K.H. Ma'ruf Amin (2019-2024)"
@Banjar88,Tips sukses untuk anak muda walaupun tanpa skills:  1: Pastikan Ayahmu seorang pejabat 2: Pastikan Ayahmu bisa merubah aturan atau undang undang 3: silahkan lanjutkan yang mau nambahin
@WildanKhatami23,bang fufufafa bikin teks naskah pake chatgpt apa gemini?
@karyanfang,"Bisa di lihat dari Koment dan Dislike, Betapa Kecewanya Masyarakat Saat ini. Masa gini doang badan statistik Nasional gak bisa lihat si... Luar biasa emang negara ini"
@zulfiariefandi4415,Cuma youtube doang memang platform yg masih bersih dari buzzer
